prod_name,brand_name,marked_price,discounted_price,rating,rating_count,size,product_link,img_link
Solid Raw Silk Co-Ord Kurta Set,InWeave,3599.0,827.0,3.7,43.0,L,https://www.myntra.com/kurta-sets/inweave/inweave-women-solid-raw-silk-co-ord-kurta-set/19574534/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19574534/2022/8/31/a4ee2a4c-35a8-48bf-97e6-5ac33eaea9681661929669076-MAJENTA-ONE-SHOULDER-KURTA-SET---GOTA-WORK-W-DUPATTA-5751661-1.jpg"
Floral Smocked Cinched Waist Top,KASSUALLY,1199.0,575.0,4.3,9.0,L,https://www.myntra.com/tops/kassually/kassually-blue-floral-cinched-waist-smocked-top/12512054/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/12512054/2023/2/2/89cd3dc2-185f-45a6-8b19-29b81641e7db1675333897892-KASSUALLY-Blue-Floral-Cinched-Waist-Smocked-Top-583167533389-2.jpg"
Printed Slim Fit Casual Shirt,HERE&NOW,2199.0,749.0,4.2,26.0,38,https://www.myntra.com/shirts/herenow/herenow-men-cream-coloured-slim-fit-floral-printed-casual-shirt/16514028/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16514028/2022/8/4/c8db2442-9ad0-4cf6-aa31-85583cb14f5d1659630928739HERENOWMenCream-ColouredSlimFitFloralPrintedCasualShirt1.jpg"
Men Pure Cotton Casual Shirt,Levis,2699.0,1349.0,4.2,4.0,40,https://www.myntra.com/shirts/levis/levis-men-blue-and-red-slim-fit-checked-pure-cotton-casual-shirt/18974244/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18974244/2022/9/22/9558d74a-41e4-4060-8512-f3736e31a7061663844745788LevisMenBlueAndRedSlimFitCheckedPureCottonCasualShirt1.jpg"
Dobby Sheer Boxy Shirt,SASSAFRAS,1299.0,597.0,4.4,10.2,XS,https://www.myntra.com/shirts/sassafras/sassafras-black-dobby-sheer-boxy-shirt/11549510/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11549510/2021/12/24/2a3d1c2e-4ced-4b96-81f4-0b8702be083d1640325901512-SASSAFRAS-Black-Dobby-Sheer-Boxy-Shirt-8921640325900918-1.jpg"
Men Slim Fit Jeans,Roadster,1499.0,749.0,3.8,1.2,30,https://www.myntra.com/jeans/roadster/roadster-men-blue-slim-fit-mid-rise-clean-look-jeans/2296001/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2296001/2018/2/24/11519454022843-Roadster-Men-Blue-Slim-Fit-Mid-Rise-Clean-Look-Jeans-4781519454022597-1.jpg"
Women ESS+ Metallic Tights,Puma,1999.0,839.0,3.8,31.0,M,https://www.myntra.com/tights/puma/puma-women-black-solid-ess-metallic-tights/17003408/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17003408/2022/2/1/9275a1dc-55f9-433f-aa4c-2fcc43b268a41643705378296Tights1.jpg"
Men Skinny Fit Low-Rise Jeans,SPYKAR,3399.0,2379.0,0.0,0.0,30,https://www.myntra.com/jeans/spykar/spykar-men-skinny-fit-low-rise-heavy-fade-stretchable-jeans/17555986/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17555986/2023/1/11/fd8135b5-fea1-41d3-a168-0d7bf6897db51673420768192-SPYKAR-Men-Skinny-Fit-Low-Rise-Heavy-Fade-Stretchable-Jeans--1.jpg"
Striped Straight Kurta,Meeranshi,1399.0,599.0,4.0,2.2,S,https://www.myntra.com/kurtas/meeranshi/meeranshi-women-green-striped-straight-kurta/10648236/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10648236/2019/9/25/13c055a7-6716-4d73-9855-ef5cf7021dae1569409399786-Green-Striped-Straight-Kurta-3991569409398566-1.jpg"
Women Geometric Printed Kurta,HERE&NOW,2299.0,1494.0,4.3,22.0,XS,https://www.myntra.com/kurtas/herenow/herenow-women-white--black-geometric-printed-kurta/13891834/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13891834/2021/7/9/d99917fe-c7a4-4aa2-892a-131742ed62e71625832115967-HERENOW-Women-Kurtas-181625832115426-1.jpg"
