prod_name,brand_name,marked_price,discounted_price,rating,rating_count,size,product_link,img_link
Air Buds Mini Wireless Earbuds,NOISE,2999,1099,4.1,2.6,Onesize,https://www.myntra.com/headphones/noise/noise-blue-air-buds-mini-truly-wireless-earbuds---pale-blue/15646344/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15646344/2022/1/14/1ebdd523-942a-4eab-b3cc-2e65dbe712821642138792377-NOISE-Blue-Air-Buds-Mini-Truly-Wireless-Earbuds---Pale-Blue--1.jpg"
Storm Call Smart Watch,boAt,7990,1999,4.2,42,Onesize,https://www.myntra.com/smart-watches/boat/boat-storm-call-169-inch-hd-display-with-bluetooth-calling-smartwatch/20980804/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20980804/2022/12/6/117363eb-6fdc-4c5c-8305-bb5190fcf61e1670309627177-boAt-Storm-call-169-inch-HD-display-with-bluetooth-calling-S-1.jpg"
Women Analogue Watch,DressBerry,3099,1084,4.4,26.7,Onesize,https://www.myntra.com/watches/dressberry/dressberry-women-mauve-analogue-watch/2278228/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2278228/2022/4/19/2451411c-8346-4b8e-b228-e60351d536161650342959173-DressBerry-Women-Mauve-Analogue-Watch-1341650342959089-7.jpg"
Men Analogue Watch,Daniel Klein,5500,2475,4.2,7.5,Onesize,https://www.myntra.com/watches/daniel-klein/daniel-klein-premium-men-coffee-brown-analogue-watch-dk11599-4/2466430/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2466430/2022/11/7/e2db24bb-243f-4298-bb54-645a531f4e3d1667825411036DanielKleinPremiumMenCoffeeBrownAnalogueWatchDK11599-41.jpg"
Talk Calling Smartwatch,Fire-Boltt,9999,1899,4.2,7.1,33 mm,https://www.myntra.com/smart-watches/fire-boltt/fire-boltt-talk-unisex-bluetooth-calling-smartwatch-04bswaay---black/15759794/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15759794/2023/2/7/373ff440-dbba-4d30-bee7-39e13e984f811675747439018-Fire-Boltt-Talk-Unisex-Bluetooth-Calling-Smartwatch-04BSWAAY-1.jpg"
Printed Casual Shirt,Roadster,1499,719,4.1,30.3,40,https://www.myntra.com/shirts/roadster/roadster-men-blue-printed-casual-sustainable-shirt/1364628/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/1364628/2016/8/31/11472636737718-Roadster-Men-Blue-Regular-Fit-Printed-Casual-Shirt-6121472636737160-1.jpg"
Men Slim Fit Jeans,Urbano Fashion,1399,755,4,3.4,28,https://www.myntra.com/jeans/urbano-fashion/urbano-fashion-men-black-slim-fit-mid-rise-clean-look-stretchable-jeans/13823708/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13823708/2022/10/19/398d64b2-096b-4a41-9ee9-95c005fc4db01666156159187-Urbano-Fashion-Men-Black-Slim-Fit-Mid-Rise-Clean-Look-Stretc-1.jpg"
Men Solid Track Pants,ADIDAS,1999,1199,4,42,S,https://www.myntra.com/track-pants/adidas/adidas-men-black-solid-track-pants/18153272/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18153272/2022/6/28/4f1707c9-68fe-4498-9a7c-2d15876783df1656417460144-ADIDAS-Men-Track-Pants-4341656417459616-1.jpg"
Women Georgette Kurta,LABEL AISHWARYRIKA,,,0,0,XXL,https://www.myntra.com/kurtas/label-aishwaryrika/label-aishwaryrika-women-sleeveless-georgette-kurta/21684954/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21684954/2023/1/24/a6682f72-15f5-4ba0-b72f-7d6c6fa645831674568913297LABELAISHWARYRIKAWomenMulticolouredColourblockedHandloomGeor1.jpg"
Women Analogue Watch,Fossil,9995,6496,4.6,82,Onesize,https://www.myntra.com/watches/fossil/fossil-women-rose-gold-toned-analogue-watch-es3590i/7983183/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/7983183/2022/10/21/1822d8e6-bff2-43c0-ae80-6aefbe3289d61666334930936FossilWomenRoseGold-TonedAnalogueWatchES3590I1.jpg"
