prod_name,brand_name,marked_price,discounted_price,rating,rating_count,size,product_link,img_link
Light Moisturizing Cream,Nivea,465,255,4.6,3.1,300ML,https://www.myntra.com/face-moisturisers/nivea/nivea-unisex-soft-light-moisturizing-non-sticky-cream-with-vitamin-e--jojoba-oil--300-ml/624897/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/624897/2022/2/25/1a957fba-bfce-4718-9667-b6c66be50ef11645787610756NiveaUnisexSoftLightMoisturizingCream-300ml1.jpg"
Men Analogue and Digital Watch,Roadster,2799,1119,4.4,2.3,Onesize,https://www.myntra.com/watches/roadster/the-roadster-lifestyle-co-men-black-analogue-and-digital-watch-mfb-pn-sm-1545/9460069/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/9460069/2019/12/20/2170285b-45c8-4a7a-8f25-6c194e5dd6de1576838875775-Roadster-Men-Black-Analogue-and-Digital-Watch-MFB-PN-SM-1545-1.jpg"
Ready to Wear Lehenga Set,Ethnovog,10299,4634,4.2,28,32/42,https://www.myntra.com/lehenga-choli/ethnovog/ethnovog-maroon-embroidered-thread-work-ready-to-wear-lehenga--blouse-with-dupatta/14357484/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14357484/2022/2/28/ec5003ed-ff17-4be0-94fd-683d7dbc12831646052336942-EthnoVogue-Maroon-Embroidered-Thread-Work-Made-to-Measure-Le-1.jpg"
Women Solid Co-Ords,Athena,3299,1484,4.1,10,XXL,https://www.myntra.com/co-ords/athena/athena-women-navy-blue-solid-co-ords/20437912/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20437912/2022/10/17/13212968-2394-4d4b-a2e6-e826d096b2c41666015592517AthenaNavyBluetrenchcollarco-ordsetwithbelt1.jpg"
Men Chunky Sneakers,HRX by Hrithik Roshan,5099,3059,4.3,95,UK7,https://www.myntra.com/casual-shoes/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-grey--black-colourblocked-chunky-sneakers/10492762/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10492762/2022/6/20/9cb589d1-a26f-44f3-b5fd-dc4a54e6854d1655719766987-HRX-by-Hrithik-Roshan-Men-Grey--Black-Colourblocked-Chunky-S-1.jpg"
Women Embroidered Kurta with Churidar With Dupatta,Libas,6999,2799,4.6,1.3,XS,https://www.myntra.com/kurta-sets/libas/libas-women-pink-floral-embroidered-panelled-chikankari-kurta-with-churidar--with-dupatta/15055214/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15055214/2021/8/23/2fb836d9-fff1-4b79-981d-01104acddd8b1629695435285-Libas-Women-Kurta-Sets-7731629695434490-1.jpg"
X-Star VHSB-03,VEGA,1999,1339,3.5,19,Onesize,https://www.myntra.com/hair-appliance/vega/vega-x-star-hair-straightening-brush-vhsb-03/16265024/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16265024/2021/12/24/456e0aaf-9955-4d0d-bced-725b15d361fc1640344975097-VEGA-X-Star-Hair-Straightening-Brush-VHSB-03-790164034497479-1.jpg"
Men Mesh Running Shoes,Champs,2199,1605,0,0,UK7,https://www.myntra.com/sports-shoes/champs/champs-men-mesh-running-non-marking-shoes/21324102/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21324102/2022/12/27/6d962e6d-e57b-47a6-940a-a8a5457bc60e1672155145414ChampsAURA-ONMenslightweightSportShoes1.jpg"
Women Ethnic Motifs Printed Kurta,Anouk,2399,959,3.7,2.1,XS,https://www.myntra.com/kurtas/anouk/anouk-women-green--mustard-ethnic-motifs-printed-a-line-kurta/13238126/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13238126/2021/3/15/fdc9fd8e-042d-4cff-ac2d-efc762e5e8ea1615804595309-Anouk-Women-Kurtas-6191615804593840-1.jpg"
Hardsided Trolley Suitcase,Safari,8699,1999,4.5,2.4,S,https://www.myntra.com/trolley-bag/safari/safari-red-56-cm-premium-hardsided-trolley-suitcase/12764078/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/12764078/2020/10/14/56f24c30-badf-49af-959b-e0cb81189ba71602668278968-Safari-red-1631602668276878-7.jpg"
