prod_name,brand_name,marked_price,discounted_price,rating,rating_count,size,product_link,img_link
Set of 96 Glass Bangle Set,NMII,3299,1199,0,0,2.2,https://www.myntra.com/bangle/nmii/nmii-set-of-96-zircon-gemstone-studded-glossy-finished-glass-bangle-set/21191726/buy,
Men Colourblocked PU Sneakers,Mast & Harbour,2299,735,3.5,15,UK9,https://www.myntra.com/casual-shoes/mast--harbour/mast--harbour-men-white-colourblocked-pu-sneakers/18300356/buy,
Men Checked Formal Suit,Raymond,9999,7499,4.3,2,36,https://www.myntra.com/suits/raymond/raymond-men-checked-slim-fit-single-breasted-two-piece-formal-suit/20460794/buy,
Women On The Go Straight Pants,Blissclub,2499,1999,4.5,5,36,https://www.myntra.com/trousers/blissclub/blissclub-women-black-on-the-go-straight-pants-with-pintuck-design/19739118/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19739118/2022/12/8/4df7f349-6ecb-4033-b82a-f9bf09a55fbc1670482737324-BlissClub-Women-Black-On-The-Go-Straight-Pants-with-Pintuck--7.jpg"
Women Wide Leg High-Rise Jeans,Roadster,2899,1159,4,21,36,https://www.myntra.com/jeans/roadster/roadster-women-blue-wide-leg-high-rise-heavy-fade-stretchable-jeans/14954472/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14954472/2021/11/25/cac6f099-fa7f-4a74-a6ea-b689fe33f3361637815153237-Roadster-Women-Jeans-671637815152585-1.jpg"
Printed Khadi Silk Saree,KALINI,2187,546,4.1,2,Onesize,https://www.myntra.com/sarees/kalini/kalini-off-white-khadi-silk-printed-khadi-saree/14252908/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2021/5/5/a8e399bd-b085-4203-8c0d-8c58110748631620190931021-1.jpg"
Shuffle Mid One8 Better V2,one8 x PUMA,6999,5949,4.3,22,UK6,https://www.myntra.com/casual-shoes/one8-x-puma/one8-x-puma-men-white-perforations-shuffle-mid-top-one8-better-v2-sneakers/20358860/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20358860/2022/11/7/1399ff7b-712c-433b-b7f9-d3a44792681e1667808634796-Shuffle-Mid-One8-Better-V2-Mens-Shoes-3701667808634497-1.jpg"
Men E Nitro 2 Running Shoes,Puma,10999,7699,4.1,6,UK7,https://www.myntra.com/sports-shoes/puma/puma-men-black-solid-electrify-nitro-2-running-shoes/19102384/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19102384/2023/1/17/b20f5912-523e-49a4-a064-e9cefafd2fe01673930751171PumaMenBlackSolidElectrifyNitro2RunningShoes1.jpg"
Men Standard Fit Casual Shirt,Campus Sutra,1499,629,4,12.5,42,https://www.myntra.com/shirts/campus-sutra/campus-sutra-men-navy-blue--grey-standard-fit-colourblocked-casual-shirt/10456354/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10456354/2019/8/22/d56e75f6-f1a7-4fdd-b430-51befb36f88d1566454760527-Campus-Sutra-Men-Colourblocked-Casual-Spread-Shirt-290156645-1.jpg"
Men Slim Fit Sustainable Casual Shirt,Harvard,1899,1082,3.8,2.1,40,https://www.myntra.com/shirts/harvard/harvard-men-red--white-slim-fit-striped-sustainable-casual-shirt/2358006/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2358006/2019/12/5/a350d284-d816-406e-9a3b-5e9928ebe26d1575548743594-Harvard-Men-Red--White-Slim-Fit-Striped-Casual-Shirt-6001575-1.jpg"
Pure Cotton Casual Shirt,Roadster,1999,1099,0,0,38,https://www.myntra.com/shirts/roadster/the-roadster-lifestyle-co-men-pure-cotton-casual-shirt/17050640/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17050640/2022/12/20/e8e6a9ab-d340-42ef-93ad-e9acd7ebe78e1671539462332-Roadster-Men-Blue-Classic-Casual-Shirt-7621671539461645-1.jpg"
Printed Straight Kurta,HERE&NOW,1399,909,4,3.7,M,https://www.myntra.com/kurtas/herenow/herenow-women-blue--off-white-printed-straight-kurta/2057094/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2057094/2017/10/10/11507625937423-HERENOW-Women-Kurtas-8251507625937311-1.jpg"
Men Slim Fit Chinos,HIGHLANDER,999,599,4,4.3,30,https://www.myntra.com/trousers/highlander/highlander-men-grey-slim-fit-chinos/3077248/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/3077248/2018/3/9/11520575841645-na-1781520575841367-1.jpg"
Women 710 Super Skinny Jeans,Levis,3599,1619,4.5,3,30,https://www.myntra.com/jeans/levis/levis-women-blue-710-super-skinny-fit-mid-rise-light-fade-stretchable-jeans/18903160/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18903160/2022/10/11/a1327ce7-307f-434b-bf4e-14364e5a02b21665481074957-Levis-Women-Blue-710-Super-Skinny-Fit-Mid-Rise-Light-Fade-St-1.jpg"
Men Mid Rise Light Fade Jeans,V-Mart,399,379,0,0,34,https://www.myntra.com/jeans/v-mart/v-mart-men-mid-rise-light-fade-jeans/21582832/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21582832/2023/1/17/032627a6-9320-4b4b-81f5-a3c7fe57e3d11673950560780VMartMenSolidPcDobbyDenimMediumWaistJeans1.jpg"
Men 511 Slim Fit Jeans,Levis,4099,2049,4,9,34,https://www.myntra.com/jeans/levis/levis-men-blue-511-slim-fit-light-fade-stretchable-jeans/18973976/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18973976/2022/9/20/d37fce13-1ba7-4828-9422-3db237f76ae61663676774632-Levis-Men-Jeans-1161663676774006-1.jpg"
Men Slim Fit Jeans,WROGN,2899,1449,4.1,68,28,https://www.myntra.com/jeans/wrogn/wrogn-men-white-slim-fit-mid-rise-clean-look-stretchable-jeans/10187335/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10187335/2019/10/10/0b13038b-0476-491d-b97c-86fed161053c1570710557070-WROGN-Men-Jeans-3511570710555564-1.jpg"
