prod_name,brand_name,marked_price,discounted_price,rating,rating_count,size,product_link,img_link
Men Analogue Watch,Fastrack,,,4.5,89,Onesize,https://www.myntra.com/watches/fastrack/fastrack-stunners-10-men-black-analogue-watch-3254nm01/14052058/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14052058/2022/4/20/0d4fb212-cf9a-4386-95df-875c8de1249c1650457279413-Fastrack-STUNNERS-10-Men-Black-Analogue-Watch-3254NM01-27816-7.jpg"
Men 65504 Skinny Fit Jeans,Levis,4399,2199,4.3,6,28,https://www.myntra.com/jeans/levis/levis-men-black-65504-skinny-fit-light-fade-stretchable-jeans/18973660/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18973660/2022/10/14/d243a950-cb02-45f2-a3ac-10efb4514a291665721752316-Levis-Men-Jeans-9371665721751707-1.jpg"
Geometric Printed V-Neck Kurta,Anouk,899,539,4.1,88,M,https://www.myntra.com/kurtas/anouk/anouk-women-teal-blue--white-geometric-printed-v-neck-kurta/14663966/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/14663966/2021/7/29/d1a4047f-9bd9-494c-8bc2-8b31b0ec1abe1627561739578-Anouk-Women-Kurtas-9301627561737718-1.jpg"
Men Casual Cotton Shirt,Jack & Jones,,,0,0,38,https://www.myntra.com/shirts/jack--jones/jack--jones-men-slim-fit-casual-cotton-shirt/21804948/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21804948/2023/2/2/351b2b78-8f3c-4a6c-ae8c-271ffba304681675323460434JackJonesMenBlackSlimFitCheckedCasualShirt1.jpg"
Solid Blazer,DOOR74,1999,699,3.6,63,S,https://www.myntra.com/blazers/door74/door74-women-black-solid-blazer/13375138/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2021/1/6/bcf54495-5146-4327-919f-998a2456bf6d1609929038028-1.jpg"
Mid-Rise Parallel Trousers,Madame,2699,2159,0,0,36,https://www.myntra.com/trousers/madame/madame-women-mid-rise-parallel-trousers/21860852/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21860852/2023/2/6/8acc36b2-2d22-439c-be1c-8d19dfa0edae1675687588027Trousers1.jpg"
Slim Fit Casual Shirt,HIGHLANDER,1849,369,3.7,4,39,https://www.myntra.com/shirts/highlander/highlander-men-blue-slim-fit-printed-casual-shirt/20145604/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20145604/2022/9/23/1c90ebbd-abb9-4599-99c0-73b1f5ccad801663935991365Shirts1.jpg"
Women Wrap Top,Athena,1799,719,4.3,1.2,XS,https://www.myntra.com/tops/athena/athena-women-red-wrap-top/19380138/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19380138/2022/8/4/5ee7f290-144a-4cc0-b3b8-83661bf454631659596369443AthenaRedPleatedPeplumTop1.jpg"
Yoke Design Kurta with Palazzos & Dupatta,Varanga,5999,1599,4,2.2,L,https://www.myntra.com/kurta-sets/varanga/varanga-women-pink--silver-toned-yoke-design-kurta-with-palazzos--dupatta/14046728/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/productimage/2021/4/8/985725ad-03ec-408a-8e84-33ee0537fb7e1617864632468-1.jpg"
Men Slim Fit Casual Shirt,HERE&NOW,2099,699,4,34,46,https://www.myntra.com/shirts/herenow/herenow-men-white-slim-fit-printed-casual-shirt/16514030/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16514030/2022/9/8/7b870d6f-de7f-474e-873c-fc7749efa4e41662576013331HERENOWMenWhiteSlimFitPrintedCasualShirt1.jpg"
