prod_name,brand_name,marked_price,discounted_price,rating,rating_count,size,product_link,img_link
Floral Crepe Midi Dress,Frempy,2490,794,4.1,1,XL,https://www.myntra.com/dresses/frempy/frempy-floral-crepe-maternity-midi-dress/21366056/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21366056/2022/12/31/ebbdf97b-0a83-4e63-aa17-3381fe007b5d1672456214599FrempyBlackFloralCrepeMaternityEmpireMidiDress1.jpg"
Men Loafers,Absolutee Shoes,1999,599,4.4,3,UK7,https://www.myntra.com/casual-shoes/absolutee-shoes/absolutee-shoes-men-tan-loafers/18823340/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18823340/2022/6/23/8bce08b0-01a6-4aba-bb06-5955a76073591655963667260AbsoluteeShoesMenTanLoafers1.jpg"
Striped Straight Kurta,HERE&NOW,1599,527,4,1.8,3XL,https://www.myntra.com/kurtas/herenow/herenow-women-burgundy--white-striped-straight-kurta/7438747/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/7438747/2022/4/6/642f7d43-dd3f-41ef-a657-73a18e658e2c1649218829210-HERENOW-Women-Burgundy--White-Striped-Straight-Kurta-4311649-5.jpg"
Oily Skin Cleanser - 125 ml,Cetaphil,545,490,4.5,72,100-125 ML,https://www.myntra.com/face-wash-and-cleanser/cetaphil/cetaphil-oily-skin-cleanser-for-sensitive-skin---125-ml/16712224/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16712224/2022/5/19/72e0b4e9-3346-4a2c-8bb6-829051413d7b1652947079572SunscreenCetaphilUnisexSunscreenCetaphilUnisexFaceMoisturise1.jpg"
Solid Round Neck Pure Cotton T-shirt,Bewakoof,1199,459,4.1,2,L,https://www.myntra.com/tshirts/bewakoof/bewakoof-men-white-solid-round-neck-pure-cotton-t-shirt/13819100/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/13819100/2021/4/7/74b77cbe-b7ee-4c7c-977a-5b8ff51379131617788592510-Bewakoof-Men-Tshirts-611617788591720-1.jpg"
Men Velocity Trn Running Shoes,Puma,3999,2999,3.9,14,UK7,https://www.myntra.com/sports-shoes/puma/puma-men-white--blue-printed-velocity-trn-regular-running-shoes/18814942/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18814942/2022/11/2/ec8a055c-555a-4092-a24f-040afdbd5a1c1667392158303-Puma-Men-White--Blue-Printed-Velocity-Trn-Regular-Running-Sh-1.jpg"
Women Yoke Design Kurta Set,Indo Era,3999,1439,4.3,79,S,https://www.myntra.com/kurta-sets/indo-era/indo-era-women-green-yoke-design-regular-kurta-with-palazzos--dupatta/15509160/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15509160/2021/10/18/f8beedd9-1a10-4cc1-a786-3b20af96b55c1634541507245IndoEraSolidGreenStraightKurtaPalazzoWithDupattaSet1.jpg"
Unisex Solid Backpack,Gear,2199,1385,4.5,2.4,Onesize,https://www.myntra.com/backpacks/gear/gear-unisex-brown-solid-backpack/7997291/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/7997291/2018/12/12/5a9095b3-c0dd-41e6-9f7c-269f0eb76c2b1544600442466-Gear-Unisex-Brown-Solid-Backpack-8531544600440875-1.jpg"
Men Textured Leather Loafers,Florsheim,,,0,0,UK9,https://www.myntra.com/casual-shoes/florsheim/florsheim-men-textured-leather-loafers/21587404/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21587404/2023/1/17/1a4834ce-0762-44a3-9b6d-5df8ecabf4f31673962830977CasualShoes1.jpg"
Men Leather Two Fold Wallet,Tommy Hilfiger,2499,1099,4.4,32,Onesize,https://www.myntra.com/wallets/tommy-hilfiger/tommy-hilfiger-men-black-genuine-leather-two-fold-wallet/11903588/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11903588/2020/6/15/33a1258b-423e-4ca8-94be-f4f9862b6e3d1592209622301WalletsTommyHilfigerMenWalletsTommyHilfigerMenWalletsTommyHi1.jpg"
Women Printed Straight Kurta,Popnetic,1399,489,3.9,11.2,M,https://www.myntra.com/kurtas/popnetic/popnetic-women-green--golden-printed-straight-kurta/11066882/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11066882/2020/1/13/7c708a55-fcee-45a4-901d-da0dffa5cb491578911582522-Popnetic-Women-Green--Golden-Printed-Straight-Kurta-71015789-1.jpg"
Slim Fit Casual Shirt,HIGHLANDER,1849,369,4.6,3,40,https://www.myntra.com/shirts/highlander/highlander-men-black-slim-fit-printed-cotton-casual-shirt/20992124/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20992124/2022/11/30/5e153c1c-23e2-422a-811f-161ee18aa6191669810076380HIGHLANDERMenBlackSlimFitPrintedCasualShirt1.jpg"
Christmas Fair Isle T-shirt,Mast & Harbour,899,539,4.4,2,XL,https://www.myntra.com/tshirts/mast--harbour/mast--harbour-women-red-pure-cotton-winter-foraging-christmas-argyle-fair-isle-t-shirt/20537882/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20537882/2022/12/22/7b1130ce-f336-4f05-8367-1410c38001a41671699219576-Mast--Harbour-Women-Tshirts-3061671699219118-1.jpg"
