prod_name,brand_name,marked_price,discounted_price,rating,rating_count,size,product_link,img_link
Men Casual Pure Cotton Shirt,U.S. Polo Assn.,,,0,0,46,https://www.myntra.com/shirts/us-polo-assn/-us-polo-assn-men-casual-pure-cotton-shirt/21491472/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21491472/2023/1/11/be2c724b-08da-4690-aef6-7887784c90751673406653495USPoloAssnMenWhiteCasualShirt1.jpg"
Gold-Plated Stone Studded  Jewellery Set,Zaveri Pearls,3450,690,4.4,6,Onesize,https://www.myntra.com/jewellery-set/zaveri-pearls/zaveri-pearls-gold-plated-stone-studded--jewellery-set/20216106/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20216106/2022/9/29/17a3897c-4c6e-4d39-a2d2-28eb089a304f1664451555291ZaveriPearlsGold-PlatedStoneStuddedJewellerySet1.jpg"
Slim Fit Casual Shirt,HERE&NOW,1899,699,4.3,36,38,https://www.myntra.com/shirts/herenow/herenow-men-black-slim-fit-floral-printed-casual-shirt/19141006/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19141006/2022/7/16/4ddd9c26-2508-47bd-a622-038f4ee330231657974759792Shirts1.jpg"
Men Relaxed Fit Hoodie,H&M,,,4.5,2,XL,https://www.myntra.com/sweatshirts/hm/hm-men-pink-relaxed-fit-hoodie/16057202/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16057202/2021/11/10/e3541adf-3a1e-4ccc-bedd-644c2e0f29221636560314413RelaxedFitHoodie1.jpg"
Men Slim Fit Chinos,HIGHLANDER,999,599,3.9,1.5,32,https://www.myntra.com/trousers/highlander/highlander-men-grey-slim-fit-solid-chinos/3077245/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/3077245/2018/10/12/bca4d601-77c5-48a0-ba4f-fcb72d15f8261539345351366-HIGHLANDER-Men-Grey-Slim-Fit-Solid-Chinos-8651539345350111-1.jpg"
Women Running Shoes,HRX by Hrithik Roshan,4099,1844,4.5,82,UK4,https://www.myntra.com/sports-shoes/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-women-purple-running-shoes/11953778/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/11953778/2022/4/8/fc3b785f-7b81-4f49-9951-005ae5755be91649408200043-HRX-by-Hrithik-Roshan-Women-Purple-Running-Shoes-53316494081-1.jpg"
Women Striped Kurta,KALINI,1227,453,4.3,15,L,https://www.myntra.com/kurtas/kalini/kalini-women-black--gold-toned-striped-kurta/19551198/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19551198/2022/8/18/3c2fbc9c-e4e5-480e-be86-d6d13f28cfe41660826376716Kurtas1.jpg"
Men Slim Fit Casual Shirt,WROGN,2599,1299,4,1.3,39,https://www.myntra.com/shirts/wrogn/wrogn-men-blue--white-slim-fit-checked-casual-shirt/2296348/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2296348/2018/12/3/a34ea346-6363-4942-94ba-39bf4a9d2d5b1543823158032-WROGN-Men-Blue--White-Slim-Fit-Checked-Casual-Shirt-5721543823157862-1.jpg"
Women Skinny Fit Jeans,Moda Rapido,1899,1519,4,4.5,38,https://www.myntra.com/jeans/moda-rapido/moda-rapido-women-black-skinny-fit-high-rise-clean-look-stretchable-jeans/9072671/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/9072671/2022/8/26/2c00a4e8-852f-4368-a050-3201ffea5eef1661518509448ModaRapidoWomenBlackSkinnyFitHigh-RiseCleanLookStretchableJe2.jpg"
Checked Cotton Casual Shirt,AMERICAN EAGLE OUTFITTERS,,,0,0,38,https://www.myntra.com/shirts/american-eagle-outfitters/american-eagle-outfitters-men-checked-pure-cotton-casual-shirt/21339980/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21339980/2022/12/29/f9679f0d-062d-4ddc-9d49-53d39d928ecc1672287232362AmericanEagleMenRedSuperSoftPlaidFlannelShirt1.jpg"
