prod_name,brand_name,marked_price,discounted_price,rating,rating_count,size,product_link,img_link
Men Baggy Tapered Fit Jeans,Levis,4099,2049,4.3,8,32,https://www.myntra.com/jeans/levis/levis-men-black-baggy-tapered-fit-heavy-fade-stretchable-jeans/18973688/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18973688/2022/9/27/0ca0ee31-466a-44a6-a5ed-4d271749886c1664259033974-Levis-Men-Jeans-8971664259033422-1.jpg"
Floral Printed Maxi Dress,TRENDY DIVVA,2799,2099,0,0,XS,https://www.myntra.com/dresses/trendy-divva/trendy-divva-floral-printed-sweetheart-neck-maxi-dress/21517308/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21517308/2023/1/20/d3cec175-5122-4fa2-a8cc-db7f91b738d51674195042606-TRENDY-DIVVA-Floral-Printed-Sweetheart-Neck-Maxi-Dress-13316-11.jpg"
Men Multi Function Watch,Roadster,2799,1259,4.3,2.5,Onesize,https://www.myntra.com/watches/roadster/roadster-men-black-dial--green-straps-analogue-and-digital-multi-function-watch/9460189/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/9460189/2022/12/2/4dd76b6c-ce10-48ca-9c13-b9ed14c555451669984468041RoadsterMenBlackDialGreenStrapsAnalogueandDigitalMultiFuncti1.jpg"
Men Active Skater Sports,HRX by Hrithik Roshan,1699,594,4.1,4,L,https://www.myntra.com/track-pants/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-black-solid-active-skater-sports-joggers/2349357/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2349357/2022/4/7/87cef7a0-ae8a-4e37-bff9-d368cef846b11649328765349HRXbyHrithikRoshanMenBlackSolidActiveSkaterSportsJoggers4.jpg"
Women Boyfriend Cropped Jeans,Roadster,2699,944,4.1,2.6,28,https://www.myntra.com/jeans/roadster/roadster-women-blue-boyfriend-fit-mid-rise-clean-look-stretchable-cropped-jeans/8801143/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/8801143/2019/7/17/f477147b-e7e2-425e-bc80-0821265bc9931563366900734-Roadster-Women-Jeans-7711563366898254-1.jpg"
Women Gladiators Flats,Shoetopia,1999,599,4.1,16,EURO37,https://www.myntra.com/flats/shoetopia/shoetopia-women-tan-gladiators-with-buckles-flats-transparent-strap/18143542/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18143542/2022/9/10/51897206-0de3-4f9c-b8c6-db3d5f0ffca81662792880246ShoetopiaWomenTanGladiatorswithBucklesFlatstransparentstrap1.jpg"
Floral Silk Blend Kaftan Kurta Set,Libas,2999,1229,4.2,23,XL,https://www.myntra.com/kurta-sets/libas/libas-floral-silk-blend-kaftan-kurta-set/16575942/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16575942/2022/1/4/99297407-b0c0-4934-bc89-fd0582ad22b41641274111590-Libas-Women-Kurta-Sets-4031641274111041-1.jpg"
Wave Infinity M Smartwatch,boAt,8990,2499,0,0,Onesize,https://www.myntra.com/smart-watches/boat/boat-wave-infinity-with-185-inch-hd-screen-bluetooth-calling-smartwatch/21760694/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21760694/2023/1/31/fb7cad84-36f8-45bc-913d-3cedeb5154e11675158544483-boAt-Wave-Infinity-with-185-HD-Screen-Bluetooth-Calling-Smar-1.jpg"
Men Tapered Fit Sustainable Chinos,Mast & Harbour,1999,1199,4.1,88,30/33,https://www.myntra.com/trousers/mast--harbour/mast--harbour-men-black-tapered-fit-solid-sustainable-chinos/2285142/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2285142/2018/3/26/11522067134936-Mast--Harbour-Men-Black-Tapered-Fit-Solid-Chinos-6511522067134853-2.jpg"
Slim Single-Breasted Blazer,Louis Philippe,6999,5949,3.8,8,40,https://www.myntra.com/blazers/louis-philippe/louis-philippe-permapress-men-blue-solid-slim-fit-single-breasted-formal-blazer/12467902/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/12467902/2023/1/13/b83e0a18-c172-42dc-bd92-45eb09fad2511673594036384LouisPhilippePermapressMenBlueSolidSlim-FitSingle-BreastedFo1.jpg"
